
id,district_name,block_name,gram_panchayat_name,anganwadi_center_unicode,name_of_anganwadi_mini_aww,mobile_number_anganwadi_mini_aww,anganwadi_center_name,type_of_area
,Agra,"Agra City","agra village 1",,,,,
,Agra,"Agra City","agra village 2",,,,,
,Agra,"Agra City","agra village 3",,,,,
,Agra,"Agra City","agra village 1",,,,,
,Agra,"Agra City","agra village 2",,,,,
,Agra,"Agra City","Agra City 6",,,,,
,Agra,"Agra City","agra village 1",,,,,
,Agra,"Agra City","agra village 1",,,,,
,Agra,"Agra City","agra village 2",,,,,
,Agra,"Agra City","agra village 2",,,,,
,Agra,"Agra City","agra village 2",,,,,
,Agra,"Agra City","Agra City 5",,,,,
